,from_funder_name,to_project_name,amount,funding_date,grant_pool_name,metadata
56,clrfund,,163.34872384626564,07/18/2023,round_9,"{""project_name"": ""Kali"", ""project_url"": ""https://www.kali.gg/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
57,clrfund,,154.34333469825953,07/18/2023,round_9,"{""project_name"": ""CriptoCuriosas"", ""project_url"": ""https://www.criptocuriosas.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
58,clrfund,,145.11917444372187,07/18/2023,round_9,"{""project_name"": ""Proof of Renewable Electricity Production (PREPchain)"", ""project_url"": ""https://prepchain.net/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
59,clrfund,,104.99757361309312,07/18/2023,round_9,"{""project_name"": ""ReFi Tulum"", ""project_url"": ""https://refitulum.io/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
60,clrfund,,100.42023374359044,07/18/2023,round_9,"{""project_name"": ""Impersonator"", ""project_url"": ""https://impersonator.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
61,clrfund,,76.43790514043324,07/18/2023,round_9,"{""project_name"": ""Mujeres en Crypto"", ""project_url"": ""https://linktr.ee/mujeresencrypto"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
62,clrfund,,70.77438170145962,07/18/2023,round_9,"{""project_name"": ""Cryptolaburos"", ""project_url"": ""https://twitter.com/cryptolaburos"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
63,clrfund,,417.8032683341233,07/18/2023,round_9,"{""project_name"": ""7Energy - Energy Communities without Banks"", ""project_url"": ""https://7energy.at/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
64,clrfund,,50.047895644302464,07/18/2023,round_9,"{""project_name"": ""Protobox.xyz"", ""project_url"": ""https://www.protobox.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
65,clrfund,,43.50072884256615,07/18/2023,round_9,"{""project_name"": ""International Media Nodes (IMN)"", ""project_url"": ""https://banklessimn.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
66,clrfund,,35.15006856542135,07/18/2023,round_9,"{""project_name"": ""Geo Web"", ""project_url"": ""https://geoweb.network/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
67,clrfund,,32.71468396388762,07/18/2023,round_9,"{""project_name"": ""Wild Friends"", ""project_url"": ""https://wildfriends.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
68,clrfund,,30.60413250815821,07/18/2023,round_9,"{""project_name"": ""LexDAO interactive AI Chatbot"", ""project_url"": ""https://lexdao.coop/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
